Time,WM1,WM2,WM3,WM4,WM5
09:43:58.016,0,0,0,0,0
09:43:58.016,1,0,0,0,0
09:43:58.517,1,0,0,0,0
09:43:58.517,0,0,0,0,0
09:43:59.028,0,0,0,0,0
09:43:59.028,1,0,0,0,0
09:43:59.529,1,0,0,0,0
09:43:59.529,0,0,0,0,0
09:44:00.029,0,0,0,0,0
09:44:00.029,1,0,0,0,0
09:44:00.575,1,0,0,0,0
09:44:00.575,0,0,0,0,0
09:44:01.079,0,0,0,0,0
09:44:01.079,1,0,0,0,0
09:44:01.580,1,0,0,0,0
09:44:01.580,0,0,0,0,0
09:44:02.097,0,0,0,0,0
09:44:02.097,1,0,0,0,0
09:44:02.598,1,0,0,0,0
09:44:02.598,0,0,0,0,0
09:44:03.098,0,0,0,0,0
09:44:03.098,1,0,0,0,0
09:44:03.599,1,0,0,0,0
09:44:03.599,0,0,0,0,0
09:44:04.114,0,0,0,0,0
09:44:04.114,1,0,0,0,0
09:44:04.615,1,0,0,0,0
09:44:04.615,0,0,0,0,0
09:44:05.115,0,0,0,0,0
09:44:05.115,1,0,0,0,0
09:44:05.616,1,0,0,0,0
09:44:05.616,0,0,0,0,0
09:44:06.116,0,0,0,0,0
09:44:06.116,1,0,0,0,0
09:44:06.647,1,0,0,0,0
09:44:06.647,0,0,0,0,0
09:44:07.150,0,0,0,0,0
09:44:07.150,1,0,0,0,0
09:44:07.650,1,0,0,0,0
09:44:07.650,0,0,0,0,0
09:44:08.150,0,0,0,0,0
09:44:08.150,1,0,0,0,0
09:44:08.658,1,0,0,0,0
09:44:08.658,0,0,0,0,0
09:44:09.203,0,0,0,0,0
09:44:09.203,1,0,0,0,0
09:44:09.718,1,0,0,0,0
09:44:09.718,0,0,0,0,0
09:44:10.218,0,0,0,0,0
09:44:10.218,1,0,0,0,0
09:44:10.719,1,0,0,0,0
09:44:10.719,0,0,0,0,0
09:44:11.296,0,0,0,0,0
09:44:11.296,1,0,0,0,0
09:44:11.802,1,0,0,0,0
09:44:11.802,0,0,0,0,0
09:44:12.303,0,0,0,0,0
09:44:12.303,1,0,0,0,0
09:44:12.804,1,0,0,0,0
09:44:12.804,0,0,0,0,0
09:44:13.303,0,0,0,0,0
09:44:13.303,1,0,0,0,0
09:44:13.804,1,0,0,0,0
09:44:13.804,0,0,0,0,0
09:44:14.305,0,0,0,0,0
09:44:14.305,1,0,0,0,0
09:44:14.902,1,0,0,0,0
09:44:14.902,0,0,0,0,0
09:44:15.406,0,0,0,0,0
09:44:15.406,1,0,0,0,0
09:44:15.907,1,0,0,0,0
09:44:15.907,0,0,0,0,0
09:44:16.408,0,0,0,0,0
09:44:16.408,1,0,0,0,0
09:44:16.961,1,0,0,0,0
09:44:16.961,0,0,0,0,0
09:44:17.474,0,0,0,0,0
09:44:17.474,1,0,0,0,0
09:44:17.974,1,0,0,0,0
09:44:17.974,0,0,0,0,0
09:44:18.475,0,0,0,0,0
09:44:18.475,1,0,0,0,0
09:44:19.032,1,0,0,0,0
09:44:19.032,0,0,0,0,0
09:44:19.542,0,0,0,0,0
09:44:19.542,1,0,0,0,0
09:44:20.043,1,0,0,0,0
09:44:20.043,0,0,0,0,0
09:44:20.559,0,0,0,0,0
09:44:20.559,1,0,0,0,0
09:44:21.064,1,0,0,0,0
09:44:21.064,0,0,0,0,0
09:44:21.575,0,0,0,0,0
09:44:21.575,1,0,0,0,0
09:44:22.077,1,0,0,0,0
09:44:22.077,0,0,0,0,0
09:44:22.577,0,0,0,0,0
09:44:22.577,1,0,0,0,0
09:44:23.079,1,0,0,0,0
09:44:23.079,0,0,0,0,0
09:44:23.614,0,0,0,0,0
09:44:23.614,1,0,0,0,0
09:44:24.128,1,0,0,0,0
09:44:24.128,0,0,0,0,0
09:44:24.629,0,0,0,0,0
09:44:24.629,1,0,0,0,0
09:44:25.130,1,0,0,0,0
09:44:25.130,0,0,0,0,0
09:44:25.692,0,0,0,0,0
09:44:25.692,1,0,0,0,0
09:44:26.196,1,0,0,0,0
09:44:26.196,0,0,0,0,0
09:44:26.696,0,0,0,0,0
09:44:26.696,1,0,0,0,0
09:44:27.220,1,0,0,0,0
09:44:27.220,0,0,0,0,0
09:44:27.731,0,0,0,0,0
09:44:27.731,1,0,0,0,0
09:44:28.232,1,0,0,0,0
09:44:28.232,0,0,0,0,0
09:44:28.745,0,0,0,0,0
09:44:28.745,1,0,0,0,0
09:44:29.248,1,0,0,0,0
09:44:29.248,0,0,0,0,0
09:44:29.750,0,0,0,0,0
09:44:29.750,1,0,0,0,0
09:44:30.265,1,0,0,0,0
09:44:30.265,0,0,0,0,0
09:44:30.798,0,0,0,0,0
09:44:30.798,1,0,0,0,0
09:44:31.301,1,0,0,0,0
09:44:31.301,0,0,0,0,0
09:44:31.806,0,0,0,0,0
09:44:31.806,1,0,0,0,0
09:44:32.314,1,0,0,0,0
09:44:32.314,0,0,0,0,0
09:44:32.825,0,0,0,0,0
09:44:32.825,1,0,0,0,0
09:44:33.338,1,0,0,0,0
09:44:33.338,0,0,0,0,0
09:44:33.851,0,0,0,0,0
09:44:33.851,1,0,0,0,0
09:44:34.360,1,0,0,0,0
09:44:34.360,0,0,0,0,0
09:44:34.862,0,0,0,0,0
09:44:34.862,1,0,0,0,0
09:44:35.410,1,0,0,0,0
09:44:35.410,0,0,0,0,0
09:44:35.928,0,0,0,0,0
09:44:35.928,1,0,0,0,0
09:44:36.437,1,0,0,0,0
09:44:36.437,0,0,0,0,0
09:44:36.943,0,0,0,0,0
09:44:36.943,1,0,0,0,0
09:44:37.483,1,0,0,0,0
09:44:37.483,0,0,0,0,0
09:44:37.991,0,0,0,0,0
09:44:37.991,1,0,0,0,0
09:44:38.499,1,0,0,0,0
09:44:38.499,0,0,0,0,0
09:44:39.008,0,0,0,0,0
09:44:39.008,1,0,0,0,0
09:44:39.553,1,0,0,0,0
09:44:39.553,0,0,0,0,0
09:44:40.056,0,0,0,0,0
09:44:40.056,1,0,0,0,0
09:44:40.563,1,0,0,0,0
09:44:40.563,0,0,0,0,0
09:44:41.071,0,0,0,0,0
09:44:41.071,1,0,0,0,0
09:44:41.596,1,0,0,0,0
09:44:41.596,0,0,0,0,0
09:44:42.104,0,0,0,0,0
09:44:42.104,1,0,0,0,0
09:44:42.611,1,0,0,0,0
09:44:42.611,0,0,0,0,0
09:44:43.119,0,0,0,0,0
09:44:43.119,1,0,0,0,0
09:44:43.647,1,0,0,0,0
09:44:43.647,0,0,0,0,0
09:44:44.168,0,0,0,0,0
09:44:44.168,1,0,0,0,0
09:44:44.674,1,0,0,0,0
09:44:44.674,0,0,0,0,0
09:44:45.184,0,0,0,0,0
09:44:45.184,1,0,0,0,0
09:44:45.719,1,0,0,0,0
09:44:45.719,0,0,0,0,0
09:44:46.219,0,0,0,0,0
09:44:46.219,1,0,0,0,0
09:44:46.727,1,0,0,0,0
09:44:46.727,0,0,0,0,0
09:44:47.233,0,0,0,0,0
09:44:47.233,1,0,0,0,0
09:44:47.739,1,0,0,0,0
09:44:47.739,0,0,0,0,0
09:44:48.248,0,0,0,0,0
09:44:48.248,1,0,0,0,0
09:44:48.758,1,0,0,0,0
09:44:48.758,0,0,0,0,0
09:44:49.267,0,0,0,0,0
09:44:49.267,1,0,0,0,0
09:44:49.775,1,0,0,0,0
09:44:49.775,0,0,0,0,0
09:44:50.283,0,0,0,0,0
09:44:50.283,1,0,0,0,0
09:44:50.791,1,0,0,0,0
09:44:50.791,0,0,0,0,0
09:44:51.300,0,0,0,0,0
09:44:51.300,1,0,0,0,0
09:44:51.808,1,0,0,0,0
09:44:51.808,0,0,0,0,0
09:44:52.333,0,0,0,0,0
09:44:52.333,1,0,0,0,0
09:44:52.842,1,0,0,0,0
09:44:52.842,0,0,0,0,0
09:44:53.350,0,0,0,0,0
09:44:53.350,1,0,0,0,0
09:44:53.857,1,0,0,0,0
09:44:53.857,0,0,0,0,0
09:44:54.367,0,0,0,0,0
09:44:54.367,1,0,0,0,0
09:44:54.874,1,0,0,0,0
09:44:54.874,0,0,0,0,0
09:44:55.381,0,0,0,0,0
09:44:55.381,1,0,0,0,0
09:44:55.890,1,0,0,0,0
09:44:55.890,0,0,0,0,0
09:44:56.399,0,0,0,0,0
09:44:56.399,1,0,0,0,0
09:44:56.911,1,0,0,0,0
09:44:56.911,0,0,0,0,0
09:44:57.418,0,0,0,0,0
09:44:57.418,1,0,0,0,0
09:44:57.925,1,0,0,0,0
09:44:57.925,0,0,0,0,0
09:44:58.433,0,0,0,0,0
09:44:58.433,1,0,0,0,0
09:44:58.958,1,0,0,0,0
09:44:58.958,0,0,0,0,0
09:44:59.468,0,0,0,0,0
09:44:59.468,1,0,0,0,0
09:44:59.974,1,0,0,0,0
09:44:59.974,0,0,0,0,0
09:45:00.481,0,0,0,0,0
09:45:00.481,1,0,0,0,0
09:45:00.989,1,0,0,0,0
09:45:00.989,0,0,0,0,0
09:45:01.505,0,0,0,0,0
09:45:01.505,1,0,0,0,0
