Time,WM1,WM2,WM3,WM4,WM5
13:47:40.630,0,0,0,0,0
13:47:40.630,0,1,0,0,0
13:47:40.754,0,1,0,0,0
13:47:40.754,0,0,0,0,0
13:47:41.284,0,0,0,0,0
13:47:41.284,0,0,1,0,0
13:47:41.790,0,0,1,0,0
13:47:41.790,0,0,0,0,0
13:47:42.355,0,0,0,0,0
13:47:42.355,0,0,1,0,0
13:47:42.862,0,0,1,0,0
13:47:42.862,0,0,0,0,0
13:47:43.213,0,0,0,0,0
13:47:43.213,1,0,0,0,0
13:47:43.245,1,0,0,0,0
13:47:43.245,0,0,0,0,0
13:47:43.401,0,0,0,0,0
13:47:43.401,0,0,1,0,0
13:47:43.903,0,0,1,0,0
13:47:43.903,0,0,0,0,0
13:47:44.424,0,0,0,0,0
13:47:44.424,0,0,1,0,0
13:47:44.925,0,0,1,0,0
13:47:44.925,0,0,0,0,0
13:47:45.436,0,0,0,0,0
13:47:45.436,0,0,1,0,0
13:47:45.942,0,0,1,0,0
13:47:45.942,0,0,0,0,0
13:47:46.481,0,0,0,0,0
13:47:46.481,0,0,1,0,0
13:47:46.987,0,0,1,0,0
13:47:46.987,0,0,0,0,0
13:47:47.494,0,0,0,0,0
13:47:47.494,0,0,1,0,0
13:47:47.997,0,0,1,0,0
13:47:47.997,0,0,0,0,0
13:47:48.508,0,0,0,0,0
13:47:48.508,0,0,1,0,0
13:47:49.010,0,0,1,0,0
13:47:49.010,0,0,0,0,0
13:47:49.515,0,0,0,0,0
13:47:49.515,0,0,1,0,0
13:47:50.019,0,0,1,0,0
13:47:50.019,0,0,0,0,0
13:47:50.516,0,0,0,0,0
13:47:50.516,0,0,1,0,0
13:47:51.033,0,0,1,0,0
13:47:51.033,0,0,0,0,0
13:47:51.541,0,0,0,0,0
13:47:51.541,0,0,1,0,0
13:47:52.048,0,0,1,0,0
13:47:52.048,0,0,0,0,0
13:47:52.553,0,0,0,0,0
13:47:52.553,0,0,1,0,0
13:47:53.065,0,0,1,0,0
13:47:53.065,0,0,0,0,0
13:47:53.571,0,0,0,0,0
13:47:53.571,0,0,1,0,0
13:47:54.068,0,0,1,0,0
13:47:54.068,0,0,0,0,0
13:47:54.582,0,0,0,0,0
13:47:54.582,0,0,1,0,0
13:47:55.078,0,0,1,0,0
13:47:55.078,0,0,0,0,0
13:47:55.594,0,0,0,0,0
13:47:55.594,0,0,1,0,0
13:47:56.100,0,0,1,0,0
13:47:56.100,0,0,0,0,0
13:47:56.606,0,0,0,0,0
13:47:56.606,0,0,1,0,0
13:47:57.112,0,0,1,0,0
13:47:57.112,0,0,0,0,0
13:47:57.616,0,0,0,0,0
13:47:57.616,0,0,1,0,0
13:47:58.123,0,0,1,0,0
13:47:58.123,0,0,0,0,0
13:47:58.630,0,0,0,0,0
13:47:58.630,0,0,1,0,0
13:47:58.773,0,0,1,0,0
13:47:58.773,0,1,1,0,0
13:47:59.140,0,1,1,0,0
13:47:59.140,0,1,0,0,0
13:47:59.644,0,1,0,0,0
13:47:59.644,0,1,1,0,0
13:48:00.154,0,1,1,0,0
13:48:00.154,0,1,0,0,0
13:48:00.662,0,1,0,0,0
13:48:00.662,0,1,1,0,0
13:48:01.156,0,1,1,0,0
13:48:01.156,0,1,0,0,0
13:48:01.249,0,1,0,0,0
13:48:01.249,1,1,0,0,0
13:48:01.674,1,1,0,0,0
13:48:01.674,1,1,1,0,0
13:48:02.182,1,1,1,0,0
13:48:02.182,1,1,0,0,0
13:48:02.689,1,1,0,0,0
13:48:02.689,1,1,1,0,0
13:48:03.195,1,1,1,0,0
13:48:03.195,1,1,0,0,0
13:48:03.705,1,1,0,0,0
13:48:03.705,1,1,1,0,0
13:48:04.211,1,1,1,0,0
13:48:04.211,1,1,0,0,0
13:48:04.719,1,1,0,0,0
13:48:04.719,1,1,1,0,0
13:48:05.225,1,1,1,0,0
13:48:05.225,1,1,0,0,0
13:48:05.745,1,1,0,0,0
13:48:05.745,1,1,1,0,0
13:48:06.245,1,1,1,0,0
13:48:06.245,1,1,0,0,0
13:48:06.759,1,1,0,0,0
13:48:06.759,1,1,1,0,0
13:48:07.263,1,1,1,0,0
13:48:07.263,1,1,0,0,0
13:48:07.792,1,1,0,0,0
13:48:07.792,1,1,1,0,0
13:48:08.298,1,1,1,0,0
13:48:08.298,1,1,0,0,0
13:48:08.809,1,1,0,0,0
13:48:08.809,1,1,1,0,0
13:48:09.315,1,1,1,0,0
13:48:09.315,1,1,0,0,0
13:48:09.876,1,1,0,0,0
13:48:09.876,1,1,1,0,0
13:48:10.379,1,1,1,0,0
13:48:10.379,1,1,0,0,0
13:48:10.884,1,1,0,0,0
13:48:10.884,1,1,1,0,0
13:48:11.391,1,1,1,0,0
13:48:11.391,1,1,0,0,0
13:48:11.917,1,1,0,0,0
13:48:11.917,1,1,1,0,0
13:48:12.435,1,1,1,0,0
13:48:12.435,1,1,0,0,0
13:48:12.942,1,1,0,0,0
13:48:12.942,1,1,1,0,0
13:48:13.448,1,1,1,0,0
13:48:13.448,1,1,0,0,0
13:48:13.954,1,1,0,0,0
13:48:13.954,1,1,1,0,0
13:48:14.462,1,1,1,0,0
13:48:14.462,1,1,0,0,0
13:48:14.969,1,1,0,0,0
13:48:14.969,1,1,1,0,0
13:48:15.475,1,1,1,0,0
13:48:15.475,1,1,0,0,0
13:48:15.979,1,1,0,0,0
13:48:15.979,1,1,1,0,0
13:48:16.488,1,1,1,0,0
13:48:16.488,1,1,0,0,0
13:48:16.786,1,1,0,0,0
13:48:16.786,1,0,0,0,0
13:48:16.992,1,0,0,0,0
13:48:16.992,1,0,1,0,0
13:48:17.499,1,0,1,0,0
13:48:17.499,1,0,0,0,0
13:48:18.006,1,0,0,0,0
13:48:18.006,1,0,1,0,0
13:48:18.506,1,0,1,0,0
13:48:18.506,1,0,0,0,0
13:48:19.009,1,0,0,0,0
13:48:19.009,1,0,1,0,0
13:48:19.255,1,0,1,0,0
13:48:19.255,0,0,1,0,0
13:48:19.525,0,0,1,0,0
13:48:19.525,0,0,0,0,0
13:48:20.029,0,0,0,0,0
13:48:20.029,0,0,1,0,0
13:48:20.532,0,0,1,0,0
13:48:20.532,0,0,0,0,0
13:48:21.038,0,0,0,0,0
13:48:21.038,0,0,1,0,0
13:48:21.546,0,0,1,0,0
13:48:21.546,0,0,0,0,0
13:48:22.051,0,0,0,0,0
13:48:22.051,0,0,1,0,0
13:48:22.559,0,0,1,0,0
13:48:22.559,0,0,0,0,0
13:48:23.060,0,0,0,0,0
13:48:23.060,0,0,1,0,0
13:48:23.566,0,0,1,0,0
13:48:23.566,0,0,0,0,0
13:48:24.074,0,0,0,0,0
13:48:24.074,0,0,1,0,0
13:48:24.583,0,0,1,0,0
13:48:24.583,0,0,0,0,0
13:48:25.090,0,0,0,0,0
13:48:25.090,0,0,1,0,0
13:48:25.594,0,0,1,0,0
13:48:25.594,0,0,0,0,0
13:48:26.107,0,0,0,0,0
13:48:26.107,0,0,1,0,0
13:48:26.615,0,0,1,0,0
13:48:26.615,0,0,0,0,0
13:48:27.121,0,0,0,0,0
13:48:27.121,0,0,1,0,0
13:48:27.628,0,0,1,0,0
13:48:27.628,0,0,0,0,0
13:48:28.132,0,0,0,0,0
13:48:28.132,0,0,1,0,0
13:48:28.637,0,0,1,0,0
13:48:28.637,0,0,0,0,0
13:48:29.146,0,0,0,0,0
13:48:29.146,0,0,1,0,0
13:48:29.706,0,0,1,0,0
13:48:29.706,0,0,0,0,0
13:48:30.222,0,0,0,0,0
13:48:30.222,0,0,1,0,0
13:48:30.729,0,0,1,0,0
13:48:30.729,0,0,0,0,0
13:48:31.236,0,0,0,0,0
13:48:31.236,0,0,1,0,0
13:48:31.791,0,0,1,0,0
13:48:31.791,0,0,0,0,0
13:48:32.296,0,0,0,0,0
13:48:32.296,0,0,1,0,0
13:48:32.803,0,0,1,0,0
13:48:32.803,0,0,0,0,0
13:48:33.312,0,0,0,0,0
13:48:33.312,0,0,1,0,0
13:48:33.814,0,0,1,0,0
13:48:33.814,0,0,0,0,0
13:48:34.323,0,0,0,0,0
13:48:34.323,0,0,1,0,0
13:48:34.798,0,0,1,0,0
13:48:34.798,0,1,1,0,0
13:48:34.861,0,1,1,0,0
13:48:34.861,0,1,0,0,0
13:48:35.369,0,1,0,0,0
13:48:35.369,0,1,1,0,0
13:48:35.876,0,1,1,0,0
13:48:35.876,0,1,0,0,0
13:48:36.381,0,1,0,0,0
13:48:36.381,0,1,1,0,0
13:48:36.888,0,1,1,0,0
13:48:36.888,0,1,0,0,0
13:48:37.254,0,1,0,0,0
13:48:37.254,1,1,0,0,0
13:48:37.396,1,1,0,0,0
13:48:37.396,1,1,1,0,0
13:48:37.930,1,1,1,0,0
13:48:37.930,1,1,0,0,0
13:48:38.431,1,1,0,0,0
13:48:38.431,1,1,1,0,0
13:48:38.938,1,1,1,0,0
13:48:38.938,1,1,0,0,0
13:48:39.444,1,1,0,0,0
13:48:39.444,1,1,1,0,0
13:48:39.974,1,1,1,0,0
13:48:39.974,1,1,0,0,0
13:48:40.491,1,1,0,0,0
13:48:40.491,1,1,1,0,0
13:48:40.999,1,1,1,0,0
13:48:40.999,1,1,0,0,0
13:48:41.505,1,1,0,0,0
13:48:41.505,1,1,1,0,0
13:48:42.040,1,1,1,0,0
13:48:42.040,1,1,0,0,0
13:48:42.555,1,1,0,0,0
13:48:42.555,1,1,1,0,0
13:48:43.062,1,1,1,0,0
13:48:43.062,1,1,0,0,0
13:48:43.566,1,1,0,0,0
13:48:43.566,1,1,1,0,0
13:48:44.102,1,1,1,0,0
13:48:44.102,1,1,0,0,0
13:48:44.613,1,1,0,0,0
13:48:44.613,1,1,1,0,0
13:48:45.121,1,1,1,0,0
13:48:45.121,1,1,0,0,0
13:48:45.628,1,1,0,0,0
13:48:45.628,1,1,1,0,0
13:48:46.145,1,1,1,0,0
13:48:46.145,1,1,0,0,0
13:48:46.655,1,1,0,0,0
13:48:46.655,1,1,1,0,0
13:48:47.162,1,1,1,0,0
13:48:47.162,1,1,0,0,0
13:48:47.671,1,1,0,0,0
13:48:47.671,1,1,1,0,0
13:48:48.180,1,1,1,0,0
13:48:48.180,1,1,0,0,0
13:48:48.687,1,1,0,0,0
13:48:48.687,1,1,1,0,0
13:48:49.196,1,1,1,0,0
13:48:49.196,1,1,0,0,0
13:48:49.704,1,1,0,0,0
13:48:49.704,1,1,1,0,0
13:48:50.212,1,1,1,0,0
13:48:50.212,1,1,0,0,0
13:48:50.718,1,1,0,0,0
13:48:50.718,1,1,1,0,0
13:48:51.224,1,1,1,0,0
13:48:51.224,1,1,0,0,0
13:48:51.730,1,1,0,0,0
13:48:51.730,1,1,1,0,0
13:48:52.237,1,1,1,0,0
13:48:52.237,1,1,0,0,0
13:48:52.734,1,1,0,0,0
13:48:52.734,1,1,1,0,0
13:48:52.795,1,1,1,0,0
13:48:52.795,1,0,1,0,0
13:48:53.248,1,0,1,0,0
13:48:53.248,1,0,0,0,0
13:48:53.756,1,0,0,0,0
13:48:53.756,1,0,1,0,0
13:48:54.264,1,0,1,0,0
13:48:54.264,1,0,0,0,0
13:48:54.772,1,0,0,0,0
13:48:54.772,1,0,1,0,0
13:48:55.261,1,0,1,0,0
13:48:55.261,0,0,1,0,0
13:48:55.265,0,0,1,0,0
13:48:55.265,0,0,0,0,0
13:48:55.786,0,0,0,0,0
13:48:55.786,0,0,1,0,0
13:48:56.293,0,0,1,0,0
13:48:56.293,0,0,0,0,0
13:48:56.799,0,0,0,0,0
13:48:56.799,0,0,1,0,0
13:48:57.361,0,0,1,0,0
13:48:57.361,0,0,0,0,0
13:48:57.871,0,0,0,0,0
13:48:57.871,0,0,1,0,0
13:48:58.377,0,0,1,0,0
13:48:58.377,0,0,0,0,0
13:48:58.884,0,0,0,0,0
13:48:58.884,0,0,1,0,0
13:48:59.422,0,0,1,0,0
13:48:59.422,0,0,0,0,0
13:48:59.930,0,0,0,0,0
13:48:59.930,0,0,1,0,0
13:49:00.433,0,0,1,0,0
13:49:00.433,0,0,0,0,0
13:49:00.939,0,0,0,0,0
13:49:00.939,0,0,1,0,0
13:49:01.484,0,0,1,0,0
13:49:01.484,0,0,0,0,0
13:49:01.999,0,0,0,0,0
13:49:01.999,0,0,1,0,0
13:49:02.506,0,0,1,0,0
13:49:02.506,0,0,0,0,0
13:49:03.012,0,0,0,0,0
13:49:03.012,0,0,1,0,0
13:49:03.524,0,0,1,0,0
13:49:03.524,0,0,0,0,0
13:49:04.026,0,0,0,0,0
13:49:04.026,0,0,1,0,0
13:49:04.528,0,0,1,0,0
13:49:04.528,0,0,0,0,0
13:49:05.036,0,0,0,0,0
13:49:05.036,0,0,1,0,0
13:49:05.544,0,0,1,0,0
13:49:05.544,0,0,0,0,0
13:49:06.052,0,0,0,0,0
13:49:06.052,0,0,1,0,0
13:49:06.557,0,0,1,0,0
13:49:06.557,0,0,0,0,0
13:49:07.063,0,0,0,0,0
13:49:07.063,0,0,1,0,0
13:49:07.568,0,0,1,0,0
13:49:07.568,0,0,0,0,0
13:49:08.106,0,0,0,0,0
13:49:08.106,0,0,1,0,0
13:49:08.620,0,0,1,0,0
13:49:08.620,0,0,0,0,0
13:49:09.127,0,0,0,0,0
13:49:09.127,0,0,1,0,0
13:49:09.636,0,0,1,0,0
13:49:09.636,0,0,0,0,0
13:49:10.144,0,0,0,0,0
13:49:10.144,0,0,1,0,0
13:49:10.653,0,0,1,0,0
13:49:10.653,0,0,0,0,0
13:49:10.812,0,0,0,0,0
13:49:10.812,0,1,0,0,0
13:49:11.159,0,1,0,0,0
13:49:11.159,0,1,1,0,0
13:49:11.666,0,1,1,0,0
13:49:11.666,0,1,0,0,0
13:49:12.213,0,1,0,0,0
13:49:12.213,0,1,1,0,0
13:49:12.725,0,1,1,0,0
13:49:12.725,0,1,0,0,0
13:49:13.229,0,1,0,0,0
13:49:13.229,0,1,1,0,0
13:49:13.292,0,1,1,0,0
13:49:13.292,1,1,1,0,0
13:49:13.734,1,1,1,0,0
13:49:13.734,1,1,0,0,0
13:49:14.256,1,1,0,0,0
13:49:14.256,1,1,1,0,0
13:49:14.762,1,1,1,0,0
13:49:14.762,1,1,0,0,0
13:49:15.268,1,1,0,0,0
13:49:15.268,1,1,1,0,0
13:49:15.775,1,1,1,0,0
13:49:15.775,1,1,0,0,0
13:49:16.281,1,1,0,0,0
13:49:16.281,1,1,1,0,0
13:49:16.789,1,1,1,0,0
13:49:16.789,1,1,0,0,0
13:49:17.297,1,1,0,0,0
13:49:17.297,1,1,1,0,0
13:49:17.802,1,1,1,0,0
13:49:17.802,1,1,0,0,0
13:49:18.308,1,1,0,0,0
13:49:18.308,1,1,1,0,0
13:49:18.820,1,1,1,0,0
13:49:18.820,1,1,0,0,0
13:49:19.339,1,1,0,0,0
13:49:19.339,1,1,1,0,0
13:49:19.844,1,1,1,0,0
13:49:19.844,1,1,0,0,0
13:49:20.350,1,1,0,0,0
13:49:20.350,1,1,1,0,0
13:49:20.901,1,1,1,0,0
13:49:20.901,1,1,0,0,0
13:49:21.408,1,1,0,0,0
13:49:21.408,1,1,1,0,0
13:49:21.904,1,1,1,0,0
13:49:21.904,1,1,0,0,0
13:49:22.424,1,1,0,0,0
13:49:22.424,1,1,1,0,0
13:49:22.953,1,1,1,0,0
13:49:22.953,1,1,0,0,0
13:49:23.471,1,1,0,0,0
13:49:23.471,1,1,1,0,0
13:49:23.978,1,1,1,0,0
13:49:23.978,1,1,0,0,0
13:49:24.485,1,1,0,0,0
13:49:24.485,1,1,1,0,0
13:49:24.994,1,1,1,0,0
13:49:24.994,1,1,0,0,0
13:49:25.497,1,1,0,0,0
13:49:25.497,1,1,1,0,0
13:49:26.005,1,1,1,0,0
13:49:26.005,1,1,0,0,0
13:49:26.513,1,1,0,0,0
13:49:26.513,1,1,1,0,0
13:49:27.018,1,1,1,0,0
13:49:27.018,1,1,0,0,0
13:49:27.516,1,1,0,0,0
13:49:27.516,1,1,1,0,0
13:49:28.033,1,1,1,0,0
13:49:28.033,1,1,0,0,0
13:49:28.538,1,1,0,0,0
13:49:28.538,1,1,1,0,0
13:49:28.822,1,1,1,0,0
13:49:28.822,1,0,1,0,0
13:49:29.044,1,0,1,0,0
13:49:29.044,1,0,0,0,0
13:49:29.548,1,0,0,0,0
13:49:29.548,1,0,1,0,0
13:49:30.056,1,0,1,0,0
13:49:30.056,1,0,0,0,0
13:49:30.564,1,0,0,0,0
13:49:30.564,1,0,1,0,0
13:49:31.073,1,0,1,0,0
13:49:31.073,1,0,0,0,0
13:49:31.296,1,0,0,0,0
13:49:31.296,0,0,0,0,0
13:49:31.581,0,0,0,0,0
13:49:31.581,0,0,1,0,0
13:49:32.086,0,0,1,0,0
13:49:32.086,0,0,0,0,0
13:49:32.597,0,0,0,0,0
13:49:32.597,0,0,1,0,0
13:49:33.104,0,0,1,0,0
13:49:33.104,0,0,0,0,0
13:49:33.612,0,0,0,0,0
13:49:33.612,0,0,1,0,0
13:49:34.143,0,0,1,0,0
13:49:34.143,0,0,0,0,0
13:49:34.658,0,0,0,0,0
13:49:34.658,0,0,1,0,0
13:49:35.165,0,0,1,0,0
13:49:35.165,0,0,0,0,0
13:49:35.673,0,0,0,0,0
13:49:35.673,0,0,1,0,0
13:49:36.215,0,0,1,0,0
13:49:36.215,0,0,0,0,0
13:49:36.731,0,0,0,0,0
13:49:36.731,0,0,1,0,0
13:49:37.235,0,0,1,0,0
13:49:37.235,0,0,0,0,0
13:49:37.742,0,0,0,0,0
13:49:37.742,0,0,1,0,0
13:49:38.280,0,0,1,0,0
13:49:38.280,0,0,0,0,0
13:49:38.789,0,0,0,0,0
13:49:38.789,0,0,1,0,0
13:49:39.297,0,0,1,0,0
13:49:39.297,0,0,0,0,0
13:49:39.807,0,0,0,0,0
13:49:39.807,0,0,1,0,0
13:49:40.344,0,0,1,0,0
13:49:40.344,0,0,0,0,0
13:49:40.847,0,0,0,0,0
13:49:40.847,0,0,1,0,0
13:49:41.353,0,0,1,0,0
13:49:41.353,0,0,0,0,0
13:49:41.859,0,0,0,0,0
13:49:41.859,0,0,1,0,0
13:49:42.386,0,0,1,0,0
13:49:42.386,0,0,0,0,0
13:49:42.906,0,0,0,0,0
13:49:42.906,0,0,1,0,0
13:49:43.412,0,0,1,0,0
13:49:43.412,0,0,0,0,0
13:49:43.921,0,0,0,0,0
13:49:43.921,0,0,1,0,0
13:49:44.460,0,0,1,0,0
13:49:44.460,0,0,0,0,0
13:49:44.966,0,0,0,0,0
13:49:44.966,0,0,1,0,0
13:49:45.474,0,0,1,0,0
13:49:45.474,0,0,0,0,0
13:49:45.982,0,0,0,0,0
13:49:45.982,0,0,1,0,0
13:49:46.523,0,0,1,0,0
13:49:46.523,0,0,0,0,0
13:49:46.837,0,0,0,0,0
13:49:46.837,0,1,0,0,0
13:49:47.026,0,1,0,0,0
13:49:47.026,0,1,1,0,0
13:49:47.531,0,1,1,0,0
13:49:47.531,0,1,0,0,0
13:49:48.039,0,1,0,0,0
13:49:48.039,0,1,1,0,0
13:49:48.547,0,1,1,0,0
13:49:48.547,0,1,0,0,0
13:49:49.054,0,1,0,0,0
13:49:49.054,0,1,1,0,0
13:49:49.308,0,1,1,0,0
13:49:49.308,1,1,1,0,0
13:49:49.562,1,1,1,0,0
13:49:49.562,1,1,0,0,0
13:49:50.072,1,1,0,0,0
13:49:50.072,1,1,1,0,0
13:49:50.579,1,1,1,0,0
13:49:50.579,1,1,0,0,0
13:49:51.076,1,1,0,0,0
13:49:51.076,1,1,1,0,0
13:49:51.579,1,1,1,0,0
13:49:51.579,1,1,0,0,0
13:49:52.085,1,1,0,0,0
13:49:52.085,1,1,1,0,0
13:49:52.592,1,1,1,0,0
13:49:52.592,1,1,0,0,0
13:49:53.140,1,1,0,0,0
13:49:53.140,1,1,1,0,0
13:49:53.653,1,1,1,0,0
13:49:53.653,1,1,0,0,0
13:49:54.159,1,1,0,0,0
13:49:54.159,1,1,1,0,0
13:49:54.667,1,1,1,0,0
13:49:54.667,1,1,0,0,0
13:49:55.180,1,1,0,0,0
13:49:55.180,1,1,1,0,0
13:49:55.693,1,1,1,0,0
13:49:55.693,1,1,0,0,0
13:49:56.190,1,1,0,0,0
13:49:56.190,1,1,1,0,0
13:49:56.320,1,1,1,0,0
13:49:56.320,0,1,1,0,0
13:49:56.704,0,1,1,0,0
13:49:56.704,0,1,0,0,0
13:49:57.232,0,1,0,0,0
13:49:57.232,0,1,1,0,0
13:49:57.747,0,1,1,0,0
13:49:57.747,0,1,0,0,0
13:49:58.085,0,1,0,0,0
13:49:58.085,0,0,0,0,0
13:49:58.159,0,0,0,0,0
13:49:58.159,1,0,0,0,0
13:49:58.254,1,0,0,0,0
13:49:58.254,1,0,1,0,0
13:49:58.760,1,0,1,0,0
13:49:58.760,1,0,0,0,0
13:49:59.266,1,0,0,0,0
13:49:59.266,1,0,1,0,0
13:49:59.771,1,0,1,0,0
13:49:59.771,1,0,0,0,0
13:49:59.898,1,0,0,0,0
13:49:59.898,1,1,0,0,0
13:49:59.978,1,1,0,0,0
13:49:59.978,0,1,0,0,0
13:50:00.283,0,1,0,0,0
13:50:00.283,0,1,1,0,0
13:50:00.791,0,1,1,0,0
13:50:00.791,0,1,0,0,0
13:50:01.294,0,1,0,0,0
13:50:01.294,0,1,1,0,0
13:50:01.710,0,1,1,0,0
13:50:01.710,0,0,1,0,0
13:50:01.775,0,0,1,0,0
13:50:01.775,1,0,1,0,0
13:50:01.838,1,0,1,0,0
13:50:01.838,1,0,0,0,0
13:50:02.345,1,0,0,0,0
13:50:02.345,1,0,1,0,0
13:50:02.853,1,0,1,0,0
13:50:02.853,1,0,0,0,0
13:50:03.359,1,0,0,0,0
13:50:03.359,1,0,1,0,0
13:50:03.517,1,0,1,0,0
13:50:03.517,1,1,1,0,0
13:50:03.581,1,1,1,0,0
13:50:03.581,0,1,1,0,0
13:50:03.867,0,1,1,0,0
13:50:03.867,0,1,0,0,0
13:50:04.372,0,1,0,0,0
13:50:04.372,0,1,1,0,0
13:50:04.879,0,1,1,0,0
13:50:04.879,0,1,0,0,0
13:50:05.324,0,1,0,0,0
13:50:05.324,0,0,0,0,0
13:50:05.395,0,0,0,0,0
13:50:05.395,0,0,1,0,0
13:50:05.395,0,0,1,0,0
13:50:05.395,1,0,1,0,0
13:50:05.911,1,0,1,0,0
13:50:05.911,1,0,0,0,0
13:50:06.412,1,0,0,0,0
13:50:06.412,1,0,1,0,0
13:50:06.725,1,1,1,0,0
13:50:06.725,1,0,1,0,0
13:50:06.792,1,1,1,0,0
13:50:06.792,1,0,1,0,0
13:50:06.918,1,0,1,0,0
13:50:06.918,1,0,0,0,0
13:50:07.204,1,0,0,0,0
13:50:07.204,0,0,0,0,0
13:50:07.299,0,0,1,0,0
13:50:07.299,0,0,0,0,0
13:50:09.007,0,0,0,0,0
13:50:09.007,1,0,0,0,0
13:50:10.824,1,0,0,0,0
13:50:10.824,0,0,0,0,0
13:50:12.634,0,0,0,0,0
13:50:12.634,1,0,0,0,0
13:50:14.446,1,0,0,0,0
13:50:14.446,0,0,0,0,0
13:50:16.250,0,0,0,0,0
13:50:16.250,1,0,0,0,0
13:50:17.972,1,0,0,0,0
13:50:17.972,0,0,0,0,0
13:50:18.047,1,0,0,0,0
13:50:18.047,0,0,0,0,0
13:51:14.560,1,0,0,0,0
13:51:14.560,0,0,0,0,0
13:51:15.009,0,1,0,0,0
13:51:15.009,0,0,0,0,0
13:51:22.704,0,0,0,0,0
13:51:22.704,0,1,0,0,0
13:51:22.787,0,1,0,0,0
13:51:22.787,0,0,0,0,0
13:51:23.315,0,0,0,0,0
13:51:23.315,0,0,1,0,0
13:51:23.816,0,0,1,0,0
13:51:23.816,0,0,0,0,0
13:51:24.324,0,0,0,0,0
13:51:24.324,0,0,1,0,0
13:51:24.599,0,0,1,0,0
13:51:24.599,0,1,1,0,0
13:51:24.831,0,1,1,0,0
13:51:24.831,0,1,0,0,0
13:51:24.896,0,1,0,0,0
13:51:24.896,1,1,0,0,0
13:51:24.967,1,1,0,0,0
13:51:24.967,0,1,0,0,0
13:51:25.333,0,1,0,0,0
13:51:25.333,0,1,1,0,0
13:51:25.845,0,1,1,0,0
13:51:25.845,0,1,0,0,0
13:51:26.351,0,1,0,0,0
13:51:26.351,0,1,1,0,0
13:51:26.415,0,1,1,0,0
13:51:26.415,0,0,1,0,0
13:51:26.767,0,0,1,0,0
